id,link_info
154088,"[{""navids"":""736299;736298;14666781"";""directions"":""3;2;3""}]"
154089,"[{""navids"":""669733;14947565;14947564"";""directions"":""3;2;3""}]"
128352,"[{""navids"":""671252;669742;669741"";""directions"":""3;2;3""};{""navids"":""669743;669744;671251"";""directions"":""2;2;2""}]"
132297,"[{""navids"":""669744;671251;671247"";""directions"":""2;2;2""};{""navids"":""671249;669764;671252"";""directions"":""3;2;3""}]"
153831,"[{""navids"":""14943688;14943658;14943656;14943650;14943648;14943644;14943628;14943631;40221674"";""directions"":""3;3;3;3;3;3;2;3;3""};{""navids"":""14943632;14943634;14943635;14943626;14943646;14943652;14943654;14943690"";""directions"":""2;2;2;2;2;2;2;2""}]"
153678,"[{""navids"":""1355012"";""directions"":""2""};{""navids"":""14505397;14505398"";""directions"":""2;2""}]"
153679,"[{""navids"":""878452;878453;876947;876981;14726717"";""directions"":""2;2;2;2;2""};{""navids"":""876980;876979;876948;878455;14726720"";""directions"":""3;3;2;3;3""}]"
132857,"[{""navids"":""85168466;85413510;85413509;85413505;85413501;85413499"";""directions"":""3;3;2;3;3;3""};{""navids"":""85413497;85413503;85413507;85413511;85413512;85168474"";""directions"":""2;2;2;2;2;2""}]"
132859,"[{""navids"":""85168466;85413510;85413509;85413505;85413501;85413499"";""directions"":""3;3;2;3;3;3""};{""navids"":""85413497;85413503;85413507;85413511;85413512;85168474"";""directions"":""2;2;2;2;2;2""}]"
154090,"[{""navids"":""669733;14947565;14947564"";""directions"":""3;2;3""};{""navids"":""669761;669759;14666782"";""directions"":""2;2;2""}]"
126566,"[{""navids"":""57867766;57867767;57867765;57867760"";""directions"":""2;2;2;2""};{""navids"":""57867759;57867762;57867763;57867753;57867749"";""directions"":""2;2;2;2;2""}]"
154091,"[{""navids"":""720261;724915;724916;724903;49320874;49320875"";""directions"":""2;2;2;2;2;2""};{""navids"":""49320873;49320872;724894;724893;720260;724913"";""directions"":""3;3;2;3;3;2""}]"
154092,"[{""navids"":""860582;860581;49383356;49383355;881360"";""directions"":""2;3;3;3;3""};{""navids"":""950551;950549"";""directions"":""3;2""}]"
150674,"[{""navids"":""57477249;57477416;57477415;57477258"";""directions"":""3;3;2;3""};{""navids"":""57477264;57477263;57477259;57477436;57477435;57477252"";""directions"":""3;3;2;3;3;3""}]"
154093,"[{""navids"":""888506;888509;888508;888504;888510;55113270;55113271;889862;889858;889856"";""directions"":""3;2;3;3;2;2;2;2;2;2""};{""navids"":""889857;889860;889859;888511;888503;888512;888513;888514;888515;888505"";""directions"":""3;3;3;3;2;2;2;2;2;2""}]"
151244,"[{""navids"":""95252592;95252693;95252692"";""directions"":""3;2;3""};{""navids"":""95252704;95252705;95252590"";""directions"":""2;2;2""}]"
151088,"[{""navids"":""14666785;14666787"";""directions"":""2;3""};{""navids"":""669736;669738"";""directions"":""2;2""}]"
154096,"[{""navids"":""95817772;95817778;95817779;14947444;14947445;754771"";""directions"":""2;2;2;2;2;2""};{""navids"":""91925935;751508;95817777;95817776;95817774"";""directions"":""3;3;2;3;3""}]"
151087,"[{""navids"":""14666785;14666787"";""directions"":""2;3""}]"
151086,"[{""navids"":""14666785;14666787"";""directions"":""2;3""}]"
132102,"[{""navids"":""95252667;95252668;95252520;95252516;95252514"";""directions"":""3;3;2;3;3""};{""navids"":""95252512;95252518;95252522;95252670;95252688;95252689"";""directions"":""2;2;2;2;2;2""}]"
154077,"[{""navids"":""49316118;49316122;49316126;49316130;49316129"";""directions"":""3;3;3;3;2""};{""navids"":""12511921;12511922"";""directions"":""2;2""}]"
153780,"[{""navids"":""95252569;95252663;95252662"";""directions"":""3;2;3""};{""navids"":""95252664;95252665;95252572"";""directions"":""2;2;2""}]"
153142,"[{""navids"":""14726825;14726826;14726824;12836345;12836205;12836346;12836347;12836199;12836350;14726827;14726828;12836355;12836173"";""directions"":""2;2;2;2;2;2;2;2;2;2;2;2;2""};{""navids"":""12836175;12836357;12836356;12836352;12836201;12836200;12836203;12836349;12836348;12836342;12836278"";""directions"":""3;3;3;3;2;3;3;3;3;3;3""}]"
154111,"[{""navids"":""70058648;70058647;40274868;40274867"";""directions"":""3;2;3;3""};{""navids"":""40274865;40274866;70058649;70058650"";""directions"":""2;2;2;2""}]"
154113,"[{""navids"":""14505401;1325858;55118271;55118270;1325915;1325914;1325903;1325902;1325879;1325876;1325874;1325872;1325870;1325869;1325866;1325865"";""directions"":""3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3""};{""navids"":""1325863;1325864;1325867;1325868;55118272;55118273;14505400;1325873;1325875;1325877;1325878;1325855;1325857;1325916;1325917;1325908;40221689"";""directions"":""2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2""}]"
133398,"[{""navids"":""87823440;87823436;87823433;87823432"";""directions"":""3;2;3;3""};{""navids"":""87823431;87823434;87823438;87823442"";""directions"":""2;2;2;2""}]"
153940,"[{""navids"":""14943129;14943121;14943118;14943119;14943101"";""directions"":""2;2;2;2;2""};{""navids"":""14943102;14943110;14943111;14943122"";""directions"":""2;2;2;2""}]"
153943,"[{""navids"":""658822;49430119;49430123"";""directions"":""2;2;2""};{""navids"":""49430125;49430121;649491"";""directions"":""3;2;3""}]"
153944,"[{""navids"":""654057;40221752;40221751"";""directions"":""3;2;3""};{""navids"":""49430123;49430124;654055"";""directions"":""2;2;2""}]"
154080,"[{""navids"":""49429702;49429703"";""directions"":""2;2""};{""navids"":""49429701;49429700;49429413"";""directions"":""3;2;3""}]"
154081,"[{""navids"":""49383484;49383485;49383481"";""directions"":""2;2;2""};{""navids"":""49383479;49383483;49383482"";""directions"":""2;3;3""}]"
154083,"[{""navids"":""57826516;57826468;69098699;69098713"";""directions"":""2;2;2;2""};{""navids"":""69098706;69098702;57826469;57826509"";""directions"":""2;2;2;2""}]"
151012,"[{""navids"":""95314235;19767309;19767308;85238874;85238878;14666823"";""directions"":""3;3;2;3;3;3""};{""navids"":""14666830;85238876;85238872;19767199;19767200;19767310"";""directions"":""2;2;2;2;2;2""}]"
154084,"[{""navids"":""815032;815035;815037;49383404"";""directions"":""2;3;3;3""};{""navids"":""815033;815034;815031"";""directions"":""2;2;2""}]"
129947,"[{""navids"":""820620;825355;825356;12512061;12512062;820622;820624;820626"";""directions"":""2;2;2;2;2;2;2;2""};{""navids"":""825297;820627;820625;820623;825358"";""directions"":""3;3;3;2;3""}]"
154085,"[{""navids"":""761988;763433;763434;761990"";""directions"":""2;2;2;2""};{""navids"":""1118183;1118185;1118211"";""directions"":""2;3;3""}]"
154086,"[{""navids"":""49429670;49429534;49429532;49429677;49429679;49429678;49429529;49429528"";""directions"":""3;3;3;3;2;3;3;3""}]"
133281,"[{""navids"":""669733;14947565;14947564"";""directions"":""3;2;3""}]"
154087,"[{""navids"":""736299;736298;14666781"";""directions"":""3;2;3""}]"
133282,"[{""navids"":""669733;14947565;14947564"";""directions"":""3;2;3""};{""navids"":""671248;669760;669761"";""directions"":""2;2;2""}]"
154023,"[{""navids"":""12511821;848639;848638"";""directions"":""3;3;2""}]"
133722,"[{""navids"":""669739;669737;669735"";""directions"":""3;2;3""};{""navids"":""669736;669738;669740"";""directions"":""2;2;2""}]"
153057,"[{""navids"":""870624;870604;870633;870635"";""directions"":""2;2;2;2""};{""navids"":""14809788;870645;870630;870627"";""directions"":""3;3;2;3""}]"
152081,"[{""navids"":""14943221;14943209;14943205;14943199;14943195"";""directions"":""2;2;2;2;2""};{""navids"":""14943196;14943200;14943202;14943206;14943210"";""directions"":""2;2;2;2;2""}]"
111212,"[{""navids"":""14018054;14018050;14018075;14018076;14018042;14018037;14018038;14018322"";""directions"":""2;2;2;2;2;2;2;2""};{""navids"":""14018324;14018034;14018044;14018066;14018068;14018067;14018052;14018056"";""directions"":""3;2;3;3;3;3;3;3""}]"
111211,"[{""navids"":""14018322;14018323;14018039;14018040"";""directions"":""2;2;2;2""};{""navids"":""14018032;14018031;14018325;14018324"";""directions"":""3;3;2;3""}]"
153734,"[{""navids"":""14943504;14943506;14943507;14943510;14943514;14943516;14943554"";""directions"":""2;2;2;2;2;2;2""};{""navids"":""14943586;14943520;14943518;14943512;14943508;14943500"";""directions"":""3;3;3;2;3;3""}]"
153218,"[{""navids"":""14666785;14666787"";""directions"":""2;3""}]"
153219,"[{""navids"":""14666785;14666787"";""directions"":""2;3""}]"
133724,"[{""navids"":""14666785;14666787"";""directions"":""2;3""}]"
152913,"[{""navids"":""846293;846295;846283;846285;14809798;14809799"";""directions"":""2;2;2;2;2;2""};{""navids"":""846365;846362;846298"";""directions"":""3;2;3""}]"
130619,"[{""navids"":""14666785;14666787"";""directions"":""2;3""}]"
151542,"[{""navids"":""14666785;14666787"";""directions"":""2;3""}]"
151541,"[{""navids"":""14666785;14666787"";""directions"":""2;3""}]"
152230,"[{""navids"":""85827196;85827195;748247;748245"";""directions"":""3;2;3;3""};{""navids"":""748246;748248;85827197;85827198"";""directions"":""2;2;2;2""}]"
154011,"[{""navids"":""95002177;95002178;95002154"";""directions"":""2;2;2""};{""navids"":""95002156;95002180"";""directions"":""2;3""}]"
153722,"[{""navids"":""14943614;14943618;14943619"";""directions"":""2;2;2""};{""navids"":""14943454;14943621;14943620;14943616;14943612"";""directions"":""3;3;2;3;3""}]"
150746,"[{""navids"":""55113282;12511753;1188120;1189663;1189661;1188124"";""directions"":""3;2;3;3;3;3""};{""navids"":""1189657;1189659;1188118;1189603;1189653;1189655"";""directions"":""2;2;2;2;2;2""}]"
151676,"[{""navids"":""14946961;14946953;14946951"";""directions"":""3;2;3""};{""navids"":""14946949;14946955;14946956"";""directions"":""2;2;2""}]"
151035,"[{""navids"":""14359629;14359693;14359699;14359700;14359691"";""directions"":""2;2;2;2;2""};{""navids"":""14359690;14359698;14359697;14359688;14359687"";""directions"":""3;3;3;3;2""}]"
154021,"[{""navids"":""852783;852782;852781;851351;851343"";""directions"":""3;3;2;3;3""};{""navids"":""54167541;12512040;851345"";""directions"":""2;2;2""}]"
132011,"[{""navids"":""1011199;69098635;69098639;69098643;69098647;69098646"";""directions"":""3;2;3;3;3;3""};{""navids"":""69098680;69098681;1011200"";""directions"":""2;2;2""}]"
130511,"[{""navids"":""25888174;57954803;57954807"";""directions"":""2;2;2""};{""navids"":""57954809;57954810;55018558;57954805;57954806;25888175"";""directions"":""2;2;2;2;2;2""}]"
153633,
132895,"[{""navids"":""14666785;14666787"";""directions"":""2;3""};{""navids"":""669736;669738"";""directions"":""2;2""}]"
123021,"[{""navids"":""1330305;1330327;1330328;95850366;95850367;1330338;1330339"";""directions"":""2;2;2;2;2;2;2""};{""navids"":""95850365;95850364;14667048;1330341;1330336;1330335;1330306"";""directions"":""3;3;3;3;2;3;3""}]"
123260,"[{""navids"":""57872691;57872693;57872692"";""directions"":""3;2;3""};{""navids"":""57872689;57872688"";""directions"":""2;3""}]"
153919,"[{""navids"":""14666785;14666787"";""directions"":""2;3""}]"
150511,"[{""navids"":""734746;733233;731638"";""directions"":""2;2;2""};{""navids"":""736299;736298;14666781"";""directions"":""3;2;3""}]"
154051,"[{""navids"":""1231995;1231996;1231993;57826399;57826400;1232011;1231991;1232005"";""directions"":""2;2;2;2;2;2;2;2""};{""navids"":""1232004;1231997;1231987;1231992;87788534;57826396;57826395;1232012;1231994;1232003"";""directions"":""3;3;3;3;3;2;3;3;3;3""}]"
154052,"[{""navids"":""87823203;87823207;87823259;87823260;87823244;87823228;87823253;87823254"";""directions"":""2;2;2;2;2;2;2;2""};{""navids"":""87822874;87823235;87823256;87823258;87823257;87823231;87823205;87823201"";""directions"":""3;3;3;2;3;3;3;3""}]"
154053,"[{""navids"":""85413235;85413236;85080931;14947562;14947563;85413460;85415290;85415291"";""directions"":""2;2;2;2;2;2;2;2""};{""navids"":""85080936;14726594;14726593;85080933;85413228;14726596;14726595;85413233"";""directions"":""3;3;3;2;3;3;3;3""}]"
134449,"[{""navids"":""734746;733233;731638"";""directions"":""2;2;2""};{""navids"":""736299;736298;14666781"";""directions"":""3;2;3""}]"
132022,"[{""navids"":""14666785;14666787"";""directions"":""2;3""}]"
154038,"[{""navids"":""95817777;95817776;95817774;14666733"";""directions"":""3;3;2;3""};{""navids"":""754740;95817772;95817778;95817779"";""directions"":""2;2;2;2""}]"
133112,
133114,"[{""navids"":""87823425;87823424;87823418;87823414;87823412;87823408"";""directions"":""3;2;3;3;3;3""};{""navids"":""87823410;87823411;87823416;87823420;87823422;87823423;87823426;87823427"";""directions"":""2;2;2;2;2;2;2;2""}]"
153106,"[{""navids"":""14946604;14946603;14946577;14946559;14946557;14946546;14946552;95314514;95314513;14946554;95314508"";""directions"":""3;3;3;2;3;3;3;3;3;3;3""};{""navids"":""95314510;14946556;95314511;95314512;14946550;14946548;14946605;14946606;14946607;14946608;14946599"";""directions"":""2;2;2;2;2;2;2;2;2;2;2""}]"
153989,"[{""navids"":""25888174;57954803;57954807;57954808;55018556;55018557"";""directions"":""2;2;2;2;2;2""};{""navids"":""57954809;57954810;55018558;57954805;57954806;25888175"";""directions"":""2;2;2;2;2;2""}]"
153904,"[{""navids"":""57958785;57958787;57958791"";""directions"":""3;2;3""};{""navids"":""57958792;57958788;57958782"";""directions"":""3;2;3""}]"
152549,"[{""navids"":""49383380;49383379;954177;954176;954174;954173;954171;954192"";""directions"":""3;3;3;3;2;3;3;3""};{""navids"":""49383377;49383378;954170;954172;954175;954178;954179;954193"";""directions"":""2;2;2;2;2;2;2;2""}]"
154068,"[{""navids"":""55118368;14505406;1325910;1325911;1325887"";""directions"":""2;2;2;2;2""};{""navids"":""1325886;1325885;1325883;14505404;55118269"";""directions"":""3;3;2;3;3""}]"
153771,"[{""navids"":""1162279;1162278;1150266;1165298;12511758;14809759"";""directions"":""3;3;2;3;3;3""};{""navids"":""1150276;1165297;1170053;1162276"";""directions"":""2;2;2;2""}]"
154069,"[{""navids"":""57826486;57826480;69098739;69098740;69098738;69098732;69098728"";""directions"":""2;2;2;2;2;2;2""};{""navids"":""69098729;69098733;69098735;69098741;69098742;57826483;57826484;57826487"";""directions"":""2;2;2;2;2;2;2;2""}]"
129344,"[{""navids"":""1189645;1189648;49383249;49383250;1188097;1188128;1188130;1189596;1189599;1189665"";""directions"":""2;2;2;2;2;2;2;2;2;2""};{""navids"":""1189670;1189669;1188126;49383248;49383247;1189641;1189606;1188095;1189608;1189651"";""directions"":""3;3;3;3;3;3;3;2;3;3""}]"
153652,"[{""navids"":""14666862;49320849;689889"";""directions"":""2;2;2""};{""navids"":""689888;12511786;40221680"";""directions"":""3;2;3""}]"
154103,"[{""navids"":""700499;708286;708285;701991;706771;706770;701990"";""directions"":""3;3;3;2;3;3;3""};{""navids"":""700497;706774;706775;701992;701993;701994"";""directions"":""2;2;2;2;2;2""}]"
153773,
153777,"[{""navids"":""95252510;95252504;95252503;95252502;95252486;95252482"";""directions"":""3;3;3;2;3;3""};{""navids"":""95252480;95252484;95252500;95252501;95252506;95252508"";""directions"":""2;2;2;2;2;2""}]"
154107,"[{""navids"":""8625140;8625139"";""directions"":""3;2""};{""navids"":""8625169;8625170;49134281;49134282;8625142;8625152;8625153"";""directions"":""2;2;2;2;2;2;2""}]"
154108,"[{""navids"":""8625143;8625151;8625154;8631317;8631316;8625140"";""directions"":""3;3;2;3;3;3""};{""navids"":""49134282;8625142;8625152;8625153;8631314;29860477"";""directions"":""2;2;2;2;2;2""}]"
154109,"[{""navids"":""49392740;49392741"";""directions"":""2;2""};{""navids"":""49392742;49392743"";""directions"":""2;2""}]"
153779,"[{""navids"":""95252632;95252636;95252638;95252642;95252664;95252665;95252572;95252660"";""directions"":""2;2;2;2;2;2;2;2""};{""navids"":""95252674;95252569;95252663;95252662;95252644;95252640;95252634"";""directions"":""3;3;3;3;2;3;3""}]"
153939,"[{""navids"":""14666785;14666787"";""directions"":""2;3""};{""navids"":""669736;669738"";""directions"":""2;2""}]"
151505,"[{""navids"":""870643;95314707;95314708"";""directions"":""2;2;2""};{""navids"":""870627;870620;870618"";""directions"":""3;2;3""}]"
154070,"[{""navids"":""12838290;12838115;12838119;12838293;12838412"";""directions"":""2;2;2;2;2""};{""navids"":""12838415;12838414;12838117;12838113;12886127"";""directions"":""3;3;2;3;3""}]"
154071,"[{""navids"":""12544044;12544033;91968846;91968857;91968856;91968859"";""directions"":""3;3;2;3;3;3""};{""navids"":""91968864;91968865;91968854;91968855;12544031;12544042"";""directions"":""2;2;2;2;2;2""}]"
154072,"[{""navids"":""14946531;14946532;14946521;14946522"";""directions"":""2;2;2;2""};{""navids"":""14946524;14946523;14946511"";""directions"":""3;2;3""}]"
152310,"[{""navids"":""87055257;86489257"";""directions"":""2;2""};{""navids"":""86489259;87055259"";""directions"":""2;3""}]"
154073,"[{""navids"":""87678796;87678795;824528"";""directions"":""2;3;3""};{""navids"":""14948547;14948548;824579;88893242"";""directions"":""2;2;2;2""}]"
152550,"[{""navids"":""14968559;14968555;14968551;14968550;14968549;14968543"";""directions"":""3;2;3;3;3;3""};{""navids"":""14968546;14968545;14968548;14968554;14968558;14968562"";""directions"":""3;3;3;3;2;3""}]"
154076,"[{""navids"":""94999220;14666721;833398;818147;833397;14724912"";""directions"":""2;2;2;2;2;2""};{""navids"":""14724914;833396;819608;833395;94999251"";""directions"":""3;3;2;3;3""}]"
132289,"[{""navids"":""87823448;87823446;87823440;87823436;87823433;87823432;87823428"";""directions"":""3;3;3;2;3;3;3""};{""navids"":""87823430;87823431;87823434;87823438"";""directions"":""2;2;2;2""}]"
154056,"[{""navids"":""49383508;49383507;744458;744460;744463;744464"";""directions"":""3;3;3;2;3;3""}]"
154057,"[{""navids"":""744466;745847;49383509;49383510;744462;744461;744459;745849;745852"";""directions"":""2;2;2;2;2;2;2;2;2""};{""navids"":""49383508;49383507;744458;744460;744463;744464;744465"";""directions"":""3;3;3;2;3;3;3""}]"
154058,"[{""navids"":""14726591;14726592;85413362;85413359;85413360;85413354;85413363;14726589;14726590"";""directions"":""2;2;2;2;2;2;2;2;2""};{""navids"":""14726587;85413257;85413356;85413358;85413357;85413259;85413462;85413461"";""directions"":""3;3;3;2;3;3;3;3""}]"
153920,"[{""navids"":""14666785;14666787"";""directions"":""2;3""}]"
116017,"[{""navids"":""87823368;87823379;87823378"";""directions"":""3;2;3""};{""navids"":""87823377;87823380;87823382"";""directions"":""2;2;2""}]"
153804,"[{""navids"":""87823430;87823431;87823434;87823438"";""directions"":""2;2;2;2""};{""navids"":""87823436;87823433;87823432;87823428"";""directions"":""3;3;2;3""}]"
152849,"[{""navids"":""716181;716180;716177;716175;716173"";""directions"":""3;3;2;3;3""};{""navids"":""716172;716174;14505395;14505396;716178;716179"";""directions"":""2;2;2;2;2;2""}]"
153929,"[{""navids"":""87967429;12544165;1266932;1266919;1259199;14666813;14666814;49383269;49383270;1253106;1262282;1262283"";""directions"":""3;3;3;3;2;2;2;2;2;2;2;2""};{""navids"":""1262281;49383268;49383267;1253105;1262287;1262286;1259198;1266928;1266929;49383273;87967505;87967506;12544190"";""directions"":""3;2;3;3;3;3;3;2;2;2;2;2;2""}]"
151759,"[{""navids"":""14666785;14666787"";""directions"":""2;3""}]"
151758,"[{""navids"":""14666785;14666787"";""directions"":""2;3""}]"
152567,
152203,"[{""navids"":""14666785;14666787"";""directions"":""2;3""}]"
132291,"[{""navids"":""87823448;87823446;87823440;87823436;87823433;87823432;87823428"";""directions"":""3;3;3;2;3;3;3""};{""navids"":""87823430;87823431;87823434;87823438"";""directions"":""2;2;2;2""}]"
154060,"[{""navids"":""12544200;12544151;12544114;12544115;12544104"";""directions"":""2;2;2;2;2""};{""navids"":""12544106;12544102;12544113;12544196;12544195"";""directions"":""3;3;3;2;3""}]"
133263,"[{""navids"":""14943129;14943121;14943118;14943119;14943101;14943097;14943093"";""directions"":""2;2;2;2;2;2;2""};{""navids"":""14943094;14943098;14943102;14943110;14943111;14943122;14943130"";""directions"":""2;2;2;2;2;2;2""}]"
154061,"[{""navids"":""14726840;14726839;12836136;12836153;12836157;12836156;12836129;12836167;12836166;12836249"";""directions"":""3;3;3;3;3;3;2;3;3;3""};{""navids"":""14726837;14726838;12836164;12836165;12836131;12836158;12836159;12836154;12836155;12836139"";""directions"":""2;2;2;2;2;2;2;2;2;2""}]"
154062,"[{""navids"":""14943596;14943577;14943591;14943590;14943587;14943586"";""directions"":""3;3;3;3;2;3""};{""navids"":""14943554;14943555;14943556;14943588;14943589;14943592;14943594"";""directions"":""2;2;2;2;2;2;2""}]"
132296,"[{""navids"":""669736;669738"";""directions"":""2;2""};{""navids"":""669737;669735"";""directions"":""3;2""}]"
154063,"[{""navids"":""55118273;14505400;1325873;1325875;1325877;1325878;1325855;1325857;1325916;1325917;1325908;40221689"";""directions"":""2;2;2;2;2;2;2;2;2;2;2;2""};{""navids"":""14505401;1325858;55118271;55118270;1325915;1325914;1325903;1325902;1325879;1325876;1325874;1325872"";""directions"":""3;3;3;3;3;3;3;2;3;3;3;3""}]"
154065,"[{""navids"":""1457855;1457854;1453163;1464022;1464021;1464020;87678734;87678812;87678811"";""directions"":""3;3;3;2;3;3;3;3;3""}]"
